author_anonymous,runtime_minutes,num_days_spent,tat_coef,deliver_score
yROeeXbE,2730.5,4.130434782608695,1.2597308488612837,2.5072463768115942
tNXXCsGC,1765.9,3.3877551020408165,1.2879251700680272,2.510204081632653
Jfotbakh,1176.3,2.9310344827586206,1.019704433497537,2.5172413793103448
BLQLHgYo,1563.1,4.56,1.0725714285714287,2.52
vUaqUpnN,669.8,2.8947368421052633,1.2403508771929825,2.526315789473684
jPtXqHVZ,3332.1,4.303030303030303,1.1491702741702743,2.5303030303030303
iuftGlbw,1068.2,3.4615384615384617,1.1996336996336996,2.5384615384615383
eHHZEvOC,1055.4,4.833333333333333,1.1831128747795416,2.5555555555555554
pmnoYJHK,271.0,2.4444444444444446,0.9629629629629629,2.5555555555555554
SROZmWqQ,304.1,4.0,1.3037037037037036,2.5555555555555554
olpvyeai,2412.8,4.023255813953488,0.8942321889996309,2.558139534883721
ITVUCeIh,1321.4,2.945945945945946,1.116891891891892,2.5675675675675675
uPhKPRSO,817.6,4.0,1.1045634920634921,2.5714285714285716
mmdIokLF,826.1,3.789473684210526,1.1681286549707603,2.5789473684210527
SfdYcbsL,725.2,2.2,1.0723809523809524,2.6
PzzqdVLB,328.7,5.0,1.1,2.6
MYDCUtGP,1177.4,5.6,0.9324603174603173,2.6
ysgrNESp,1109.1,2.9655172413793105,0.9804597701149426,2.6206896551724137
krXHzWKA,460.9,2.75,0.8229166666666666,2.625
OZnpCejh,1141.7,4.105263157894737,0.8840225563909774,2.6315789473684212
ENffELrC,1547.7,3.4285714285714284,0.9809523809523809,2.642857142857143
QPRiNrFJ,176.8,3.0,0.861111111111111,2.6666666666666665
YmxbXway,2721.0,2.774193548387097,0.8986175115207373,2.6774193548387095
pISTCGvL,1256.5,2.44,0.9466666666666668,2.68
ZpPTXEjq,3482.2,1.908256880733945,0.9325032765399738,2.697247706422018
xCgaBtHU,426.09999999999997,3.4,1.05,2.7
wJPegemJ,936.6,3.588235294117647,0.8450980392156863,2.7058823529411766
DfGOjZSg,1195.3,2.4857142857142858,0.9193877551020408,2.7142857142857144
yGjalpYA,3814.4,3.1311475409836067,0.6966302367941712,2.721311475409836
qHcajxor,3014.5,3.0,0.9172413793103449,2.7241379310344827
ETlvsdgr,1226.8,3.1739130434782608,0.9580745341614907,2.739130434782609
UKxwauBP,472.8,1.826086956521739,0.9347826086956522,2.739130434782609
YzZtkeVM,1753.2,2.302325581395349,0.7943798449612403,2.744186046511628
efwGgAyr,169.5,2.5,0.8333333333333333,2.75
XrIglogd,1793.7,3.111111111111111,0.8410383597883597,2.7777777777777777
MzqarHmo,1132.7,3.0434782608695654,0.9156314699792961,2.782608695652174
